Year,Region,Data Source,Investment (USD Billion)
2015,China,IT桔子,0.75
2015,China,清科研究中心,0.74
2015,China,企查查,0.81
2015,China,SmarterDx,0.68
2015,China,Fathom,0.7
2015,China,SAS,0.84
2015,China,深睿医疗,0.81
2015,China,Causaly,0.8
2015,China,Heidi Health,0.8
2015,China,汇医慧影,0.76
2015,China,ZOE,0.82
2015,China,Atomwise,0.72
2015,China,Augmedix,0.79
2015,China,联影智能,0.69
2015,China,平安智慧医疗,0.74
2015,China,迈瑞医疗,0.71
2015,China,CodaMetrix,0.74
2015,China,Eleos Health,0.72
2016,China,IT桔子,1.21
2016,China,清科研究中心,1.2
2016,China,企查查,1.2
2016,China,观研报告网,1.26
2016,China,Cleerly,1.31
2016,China,华大智造,1.09
2016,China,Quris-AI,1.1
2016,China,Optum Analytics,1.21
2016,China,Atomwise,1.14
2016,China,Element5,1.28
2016,China,GE Healthcare,1.13
2016,China,Arcadia,1.18
2016,China,Exscientia,1.27
2016,China,蓝帆医疗AI,1.22
2016,China,Arcadia,1.24
2016,China,推想科技,1.22
2016,China,Arterys,1.14
2016,China,Arterys,1.13
2016,China,平安智慧医疗,1.31
2016,China,平安智慧医疗,1.1
2016,China,Healx,1.16
2016,China,鹰瞳科技,1.26
2016,China,数坤科技,1.15
2016,China,前瞻产业研究院,1.32
2016,China,Hinge Health,1.26
2016,China,中国信通院,1.15
2016,China,腾讯觅影,1.17
2016,China,Regard,1.1
2016,China,Angle Health,1.13
2016,China,腾讯觅影,1.29
2016,China,Angle Health,1.2
2016,China,Daxue Consulting,1.24
2016,China,Intelligencia AI,1.09
2016,China,Praxis EMR,1.31
2016,China,Vizzia Technologies,1.14
2017,China,IT桔子,1.94
2017,China,清科研究中心,1.75
2017,China,企查查,1.97
2017,China,前瞻产业研究院,1.91
2017,China,Butterfly Network,1.92
2017,China,Intelligencia AI,2.01
2017,China,联影智能,1.71
2017,China,SmarterDx,1.79
2017,China,深睿医疗,1.77
2017,China,Owkin,1.97
2017,China,Arcadia,1.96
2017,China,Chordline Health,1.96
2017,China,Praxis EMR,1.77
2017,China,森浦医疗AI平台,1.86
2017,China,推想科技,2.0
2017,China,Element5,2.02
2017,China,Amazon Health,1.87
2017,China,Augmedix,1.95
2017,China,Elegen Corp.,1.75
2017,China,CodaMetrix,1.88
2017,China,腾讯觅影,1.85
2017,China,ScienceDirect,1.98
2018,China,IT桔子,3.08
2018,China,清科研究中心,2.92
2018,China,企查查,3.14
2018,China,Fathom,2.79
2018,China,GE Healthcare,3.33
2018,China,汇医慧影,3.12
2018,China,平安智慧医疗,2.99
2018,China,森浦医疗AI平台,3.13
2018,China,Quibim,3.04
2018,China,Chordline Health,2.97
2018,China,Digital Diagnostics,2.81
2018,China,推想科技,3.16
2018,China,ScienceDirect,2.95
2018,China,Praxis EMR,3.06
2018,China,Angle Health,2.79
2018,China,Philips Healthcare,3.25
2018,China,Element5,3.02
2018,China,前瞻产业研究院,3.26
2018,China,HMNC Brain Health,3.32
2018,China,Chordline Health,3.25
2018,China,SAS,3.16
2018,China,医渡云,2.9
2018,China,Viz.ai,3.37
2018,China,ZOE,2.83
2018,China,Daxue Consulting,2.77
2018,China,科亚医疗,2.79
2019,China,IT桔子,5.64
2019,China,清科研究中心,5.53
2019,China,企查查,5.66
2019,China,Arterys,5.05
2019,China,Fathom,5.95
2019,China,Owkin,5.55
2019,China,国家统计局,5.94
2019,China,Butterfly Network,5.68
2019,China,Livara Health,5.62
2019,China,Livara Health,5.61
2019,China,Daxue Consulting,5.41
2019,China,HMNC Brain Health,5.21
2019,China,华大智造,5.47
2019,China,Siemens Healthineers,5.23
2019,China,SimpleTherapy,5.63
2019,China,森浦医疗AI平台,5.54
2019,China,科亚医疗,5.72
2019,China,Hinge Health,5.46
2019,China,SmarterDx,5.32
2019,China,腾讯觅影,5.71
2019,China,艾瑞咨询,6.01
2019,China,Arterys,6.07
2019,China,Everly Health,5.92
2020,China,IT桔子,9.77
2020,China,清科研究中心,9.81
2020,China,企查查,9.71
2020,China,Owkin,9.71
2020,China,蓝帆医疗AI,10.41
2020,China,Praxis EMR,9.16
2020,China,Eleos Health,9.71
2020,China,Digital Diagnostics,10.29
2020,China,Color Health,9.67
2020,China,迈瑞医疗,9.77
2020,China,迈瑞医疗,10.55
2020,China,CodaMetrix,9.65
2020,China,Infinitus,10.61
2020,China,推想科技,9.83
2020,China,Google Health,9.21
2020,China,Google Health,10.64
2020,China,汇医慧影,10.71
2020,China,前瞻产业研究院,9.38
2020,China,中国信通院,9.54
2020,China,Microsoft Healthcare,10.43
2020,China,PathAI,9.64
2020,China,Philips Healthcare,9.46
2020,China,科亚医疗,9.51
2020,China,Google Health,9.81
2020,China,Augmedix,9.59
2020,China,平安智慧医疗,9.37
2020,China,华大智造,9.12
2020,China,Augmedix,10.58
2020,China,华大智造,9.45
2020,China,推想科技,9.3
2020,China,Hinge Health,9.44
2020,China,BenevolentAI,9.7
2020,China,Quibim,10.38
2020,China,数坤科技,9.17
2020,China,Vizzia Technologies,9.86
2021,China,IT桔子,17.96
2021,China,清科研究中心,18.95
2021,China,企查查,18.28
2021,China,Forward,17.66
2021,China,观研报告网,19.96
2021,China,国家统计局,16.64
2021,China,联影智能,18.62
2021,China,艾瑞咨询,17.71
2021,China,Digital Diagnostics,18.64
2021,China,深睿医疗,17.78
2021,China,SimpleTherapy,18.29
2021,China,Augmedix,17.13
2021,China,Intelligencia AI,17.44
2021,China,森亿智能,19.35
2021,China,Quibim,18.1
2021,China,推想科技,18.13
2021,China,依图科技,18.13
2021,China,Owkin,18.42
2021,China,Atomwise,19.88
2021,China,Quris-AI,17.83
2021,China,Healx,17.8
2021,China,Quibim,17.09
2022,China,IT桔子,11.82
2022,China,清科研究中心,13.11
2022,China,企查查,12.05
2022,China,Causaly,13.13
2022,China,Atomwise,11.28
2022,China,Amazon Health,12.5
2022,China,Cleerly,11.8
2022,China,Heidi Health,13.4
2022,China,Everly Health,11.64
2022,China,Amazon Health,12.5
2022,China,Philips Healthcare,12.37
2022,China,Angle Health,11.62
2022,China,Quris-AI,12.14
2022,China,Angle Health,13.65
2022,China,SimpleTherapy,13.51
2022,China,阿里健康,11.87
2022,China,Everly Health,11.36
2022,China,鹰瞳科技,11.5
2022,China,CKGSB Knowledge,12.67
2023,China,IT桔子,
2023,China,清科研究中心,16.65
2023,China,企查查,16.46
2023,China,IBM Watson Health,15.77
2023,China,数坤科技,15.17
2023,China,Intelligencia AI,17.87
2023,China,Cleerly,18.14
2023,China,IBM Watson Health,15.89
2023,China,国家统计局,15.0
2023,China,汇医慧影,17.0
2023,China,SAS,17.65
2023,China,ScienceDirect,18.01
2023,China,科亚医疗,16.58
2023,China,Amazon Health,15.04
2023,China,艾瑞咨询,16.07
2023,China,Vizzia Technologies,15.17
2023,China,中国信通院,15.78
2023,China,推想科技,16.83
2023,China,Arterys,17.2
2023,China,前瞻产业研究院,16.47
2023,China,依图科技,17.8
2023,China,Butterfly Network,17.08
2023,China,Element5,15.69
2023,China,Angle Health,18.18
2023,China,Owkin,15.23
2023,China,Augmedix,17.27
2023,China,Praxis EMR,15.58
2024,China,IT桔子,21.5
2024,China,清科研究中心,22.84
2024,China,企查查,20.85
2024,China,Forward,22.73
2024,China,Viz.ai,20.7
2024,China,Daxue Consulting,21.6
2024,China,Causaly,21.8
2024,China,鹰瞳科技,21.18
2024,China,迈瑞医疗,19.87
2024,China,汇医慧影,23.03
2024,China,Daxue Consulting,19.9
2024,China,华大智造,23.94
2024,China,Intelligencia AI,22.27
2024,China,鹰瞳科技,23.0
2024,China,Intelligencia AI,20.74
2024,China,Intelligencia AI,23.33
2024,China,新华三AI医疗平台,19.56
2024,China,依图科技,21.93
2024,China,ZOE,23.48
2024,China,BenevolentAI,23.25
2024,China,腾讯觅影,20.85
2024,China,Viz.ai,20.81
2024,China,新华三AI医疗平台,23.77
2024,China,Elegen Corp.,23.81
2024,China,Insitro,23.56
2024,China,HMNC Brain Health,23.58
2024,China,PathAI,23.47
2024,China,Siemens Healthineers,22.8
2024,China,依图科技,22.53
2024,China,Color Health,19.97
2024,China,Elegen Corp.,21.08
2024,China,森亿智能,22.55
2024,China,Digital Diagnostics,23.82
2024,China,新华三AI医疗平台,23.04
2024,China,联影智能,20.8
2015,EU,Dealroom,1.27
2015,EU,EU Startups,1.16
2015,EU,Sifted,1.21
2015,EU,Regard,1.14
2015,EU,科亚医疗,1.2
2015,EU,BenevolentAI,1.31
2015,EU,BenevolentAI,1.13
2015,EU,Infinitus,1.22
2015,EU,Chordline Health,1.18
2015,EU,Praxis EMR,1.27
2015,EU,Livara Health,1.16
2015,EU,Fathom,1.29
2015,EU,Butterfly Network,1.19
2015,EU,CodaMetrix,1.28
2015,EU,观研报告网,1.31
