Year,Region,Data Source,Market Size,Currency
2015,China,中国信通院,81.4,CNY
2015,China,国家统计局,78.2,CNY
2015,China,艾瑞咨询,82.3,CNY
2015,China,依图科技,37.5,CNY
2015,China,Angle Health,21.2,CNY
2015,China,Element5,14.2,CNY
2015,China,HMNC Brain Health,6.2,CNY
2015,China,Lyra Health,28.9,CNY
2015,China,华大智造,26.9,CNY
2015,China,Elegen Corp.,14.7,CNY
2015,China,迈瑞医疗,41.8,CNY
2015,China,GE Healthcare,26.6,CNY
2015,China,数坤科技,44.1,CNY
2015,China,艾瑞咨询,29.3,CNY
2015,China,Vizzia Technologies,24.6,CNY
2015,China,Quibim,45.8,CNY
2015,China,Eleos Health,13.9,CNY
2015,China,Augmedix,22.1,CNY
2015,China,Viz.ai,9.4,CNY
2015,China,平安智慧医疗,10.4,CNY
2015,China,医渡云,30.6,CNY
2015,China,蓝帆医疗AI,24.4,CNY
2015,China,腾讯觅影,46.2,CNY
2015,China,依图科技,34.8,CNY
2015,China,新华三AI医疗平台,22.8,CNY
2015,China,观研报告网,45.2,CNY
2015,China,Regard,34.4,CNY
2016,China,中国信通院,86.7,CNY
2016,China,国家统计局,81.9,CNY
2016,China,艾瑞咨询,86.9,CNY
2016,China,Insitro,30.7,CNY
2016,China,Fathom,24.0,CNY
2016,China,Atomwise,40.7,CNY
2016,China,汇医慧影,48.6,CNY
2016,China,Arcadia,19.8,CNY
2016,China,Cleerly,4.7,CNY
2016,China,Cleerly,33.3,CNY
2016,China,Vizzia Technologies,37.3,CNY
2016,China,深睿医疗,29.7,CNY
2016,China,华大智造,25.5,CNY
2016,China,Microsoft Healthcare,27.3,CNY
2016,China,深睿医疗,24.2,CNY
2016,China,Atomwise,1.9,CNY
2016,China,Cleerly,48.4,CNY
2016,China,Arcadia,29.1,CNY
2016,China,Everly Health,20.8,CNY
2016,China,Causaly,44.0,CNY
2016,China,Livara Health,20.5,CNY
2016,China,Owkin,51.3,CNY
2016,China,CKGSB Knowledge,52.7,CNY
2016,China,汇医慧影,30.6,CNY
2016,China,阿里健康,35.2,CNY
2016,China,Eleos Health,19.1,CNY
2016,China,Philips Healthcare,4.9,CNY
2016,China,数坤科技,51.1,CNY
2016,China,Siemens Healthineers,22.0,CNY
2016,China,Angle Health,43.3,CNY
2016,China,数坤科技,33.2,CNY
2016,China,Fathom,25.4,CNY
2016,China,蓝帆医疗AI,35.2,CNY
2017,China,中国信通院,89.2,CNY
2017,China,国家统计局,85.3,CNY
2017,China,艾瑞咨询,83.3,CNY
2017,China,Amazon Health,44.9,CNY
2017,China,Owkin,35.4,CNY
2017,China,迈瑞医疗,2.5,CNY
2017,China,Microsoft Healthcare,57.3,CNY
2017,China,数坤科技,18.9,CNY
2017,China,Butterfly Network,56.6,CNY
2017,China,联影智能,30.5,CNY
2017,China,观研报告网,6.3,CNY
2017,China,Eleos Health,9.6,CNY
2017,China,森浦医疗AI平台,6.4,CNY
2017,China,森亿智能,54.5,CNY
2017,China,CodaMetrix,18.9,CNY
2017,China,Angle Health,23.7,CNY
2017,China,ScienceDirect,14.5,CNY
2017,China,BenevolentAI,26.5,CNY
2017,China,Healx,33.8,CNY
2017,China,Amazon Health,44.3,CNY
2017,China,Livara Health,26.5,CNY
2017,China,Insitro,39.7,CNY
2017,China,Cleerly,13.7,CNY
2018,China,中国信通院,94.1,CNY
2018,China,国家统计局,88.6,CNY
2018,China,艾瑞咨询,92.0,CNY
2018,China,Viz.ai,32.8,CNY
2018,China,医渡云,4.4,CNY
2018,China,新华三AI医疗平台,65.2,CNY
2018,China,Amazon Health,21.2,CNY
2018,China,Siemens Healthineers,30.4,CNY
2018,China,IBM Watson Health,37.8,CNY
2018,China,Owkin,45.3,CNY
2018,China,Cleerly,59.1,CNY
2018,China,Livara Health,25.2,CNY
2018,China,Atomwise,14.0,CNY
2018,China,Element5,54.6,CNY
2018,China,GE Healthcare,54.9,CNY
2018,China,Exscientia,33.8,CNY
2018,China,ZOE,32.7,CNY
2018,China,推想科技,54.1,CNY
2018,China,Hinge Health,40.8,CNY
2018,China,Owkin,6.3,CNY
2018,China,汇医慧影,33.6,CNY
2018,China,ScienceDirect,7.7,CNY
2018,China,Vizzia Technologies,5.5,CNY
2018,China,汇医慧影,9.3,CNY
2018,China,Owkin,49.5,CNY
2018,China,CodaMetrix,5.5,CNY
2018,China,Infinitus,17.6,CNY
2018,China,Fathom,4.2,CNY
2018,China,Angle Health,20.5,CNY
2018,China,SmarterDx,0.2,CNY
2018,China,SmarterDx,58.4,CNY
2018,China,Livara Health,10.6,CNY
2018,China,深睿医疗,12.0,CNY
2018,China,Healx,31.1,CNY
2019,China,中国信通院,97.0,CNY
2019,China,国家统计局,91.3,CNY
2019,China,艾瑞咨询,93.3,CNY
2019,China,森浦医疗AI平台,48.7,CNY
2019,China,Cleerly,38.4,CNY
2019,China,Google Health,20.8,CNY
2019,China,森浦医疗AI平台,10.2,CNY
2019,China,Intelligencia AI,27.2,CNY
2019,China,Healx,22.8,CNY
2019,China,Everly Health,42.0,CNY
2019,China,GE Healthcare,3.4,CNY
2019,China,依图科技,25.8,CNY
2019,China,GE Healthcare,12.2,CNY
2019,China,BenchSci,26.2,CNY
2019,China,ScienceDirect,33.5,CNY
2019,China,Digital Diagnostics,33.5,CNY
2019,China,森亿智能,59.5,CNY
2019,China,Optum Analytics,34.5,CNY
2019,China,Elegen Corp.,0.0,CNY
2019,China,Microsoft Healthcare,14.1,CNY
2019,China,SmarterDx,3.2,CNY
2019,China,Angle Health,28.4,CNY
2019,China,森浦医疗AI平台,40.2,CNY
2019,China,前瞻产业研究院,57.3,CNY
2019,China,HMNC Brain Health,17.3,CNY
2019,China,CodaMetrix,13.5,CNY
2019,China,Daxue Consulting,12.6,CNY
2019,China,平安智慧医疗,20.1,CNY
2019,China,观研报告网,26.5,CNY
2019,China,Cleerly,4.6,CNY
2019,China,SimpleTherapy,33.3,CNY
2019,China,国家统计局,33.1,CNY
2019,China,鹰瞳科技,2.1,CNY
2019,China,Google Health,20.2,CNY
2020,China,中国信通院,92.8,CNY
2020,China,国家统计局,93.3,CNY
2020,China,艾瑞咨询,96.6,CNY
2020,China,Fathom,26.2,CNY
2020,China,阿里健康,25.6,CNY
2020,China,SimpleTherapy,29.0,CNY
2020,China,腾讯觅影,12.6,CNY
2020,China,观研报告网,47.4,CNY
2020,China,Elegen Corp.,35.1,CNY
2020,China,Hinge Health,10.3,CNY
2020,China,Forward,29.8,CNY
2020,China,鹰瞳科技,65.4,CNY
2020,China,深睿医疗,58.6,CNY
2020,China,华大智造,44.2,CNY
2020,China,新华三AI医疗平台,46.1,CNY
2020,China,Arcadia,35.8,CNY
2020,China,CKGSB Knowledge,62.4,CNY
2020,China,依图科技,20.6,CNY
2020,China,Quris-AI,16.3,CNY
2020,China,Regard,37.3,CNY
2020,China,GE Healthcare,58.6,CNY
2020,China,Chordline Health中国信通院,45.5,CNY
2020,China,Elegen Corp.,5.0,CNY
2020,China,Healx,46.1,CNY
2020,China,PathAI,35.8,CNY
2020,China,华大智造,33.9,CNY
2020,China,Praxis EMR,12.1,CNY
2020,China,BenevolentAI,4.2,CNY
2020,China,Praxis EMR,15.8,CNY
2020,China,森亿智能,16.9,CNY
2020,China,鹰瞳科技,41.3,CNY
2020,China,Lyra Health,28.8,CNY
2020,China,GE Healthcare,50.4,CNY
2020,China,Digital Diagnostics,44.3,CNY
2020,China,CodaMetrix,36.9,CNY
2021,China,中国信通院,79.9,CNY
2021,China,国家统计局,79.9,CNY
2021,China,艾瑞咨询,79.9,CNY
2021,China,CKGSB Knowledge,57.4,CNY
2021,China,Optum Analytics,17.6,CNY
2021,China,ScienceDirect,32.0,CNY
2021,China,Amazon Health,14.4,CNY
2021,China,IBM Watson Health,30.4,CNY
2021,China,Chordline Health中国信通院,17.0,CNY
2021,China,Arterys,1.8,CNY
2021,China,Arcadia,28.3,CNY
2021,China,科亚医疗,43.3,CNY
2021,China,森浦医疗AI平台,8.9,CNY
2021,China,Viz.ai,7.9,CNY
2021,China,Angle Health,40.8,CNY
2021,China,前瞻产业研究院,35.6,CNY
2021,China,Fathom,46.1,CNY
2021,China,ScienceDirect,51.0,CNY
2022,China,中国信通院,85.8,CNY
2022,China,国家统计局,87.8,CNY
2022,China,艾瑞咨询,91.4,CNY
2022,China,Forward,0.2,CNY
2022,China,Atomwise,24.7,CNY
2022,China,Eleos Health,34.0,CNY
2022,China,Quibim,7.2,CNY
2022,China,Lyra Health,61.4,CNY
2022,China,平安智慧医疗,62.3,CNY
2022,China,Eleos Health,29.0,CNY
2022,China,Atomwise,7.6,CNY
2022,China,深睿医疗,31.2,CNY
2022,China,Viz.ai,19.0,CNY
2022,China,Hinge Health,5.2,CNY
2022,China,华大智造,50.5,CNY
2022,China,Chordline Health中国信通院,25.6,CNY
2022,China,Arterys,50.9,CNY
2022,China,ScienceDirect,16.3,CNY
2022,China,Angle Health,7.1,CNY
2022,China,数坤科技,14.2,CNY
2022,China,Livara Health,41.0,CNY
2022,China,Atomwise,44.5,CNY
2022,China,Elegen Corp.,26.8,CNY
2022,China,Forward,39.5,CNY
2022,China,深睿医疗,45.8,CNY
2022,China,BenevolentAI,4.2,CNY
2022,China,依图科技,43.3,CNY
2022,China,迈瑞医疗,43.6,CNY
2022,China,Color Health,9.4,CNY
2022,China,Causaly,13.4,CNY
2022,China,Digital Diagnostics,30.8,CNY
2022,China,腾讯觅影,11.8,CNY
2022,China,SimpleTherapy,44.1,CNY
2022,China,阿里健康,1.2,CNY
2022,China,Digital Diagnostics,24.8,CNY
2022,China,Fathom,44.8,CNY
2023,China,中国信通院,88.0,CNY
2023,China,国家统计局,88.0,CNY
2023,China,艾瑞咨询,88.0,CNY
2023,China,Quibim,39.6,CNY
2023,China,Element5,34.4,CNY
2023,China,森浦医疗AI平台,18.0,CNY
2023,China,GE Healthcare,0.1,CNY
2023,China,Everly Health,0.7,CNY
2023,China,医渡云,29.5,CNY
2023,China,Livara Health,17.0,CNY
2023,China,前瞻产业研究院,33.8,CNY
2023,China,IBM Watson Health,21.2,CNY
2023,China,阿里健康,42.4,CNY
2023,China,国家统计局,11.7,CNY
2023,China,IBM Watson Health,51.9,CNY
2023,China,依图科技,6.2,CNY
2023,China,Everly Health,43.9,CNY
2023,China,Butterfly Network,9.3,CNY
2023,China,Vizzia Technologies,40.3,CNY
2023,China,推想科技,29.8,CNY
2023,China,汇医慧影,10.4,CNY
2023,China,Optum Analytics,22.7,CNY
2023,China,迈瑞医疗,6.8,CNY
2024,China,中国信通院,112.7,CNY
2024,China,国家统计局,111.0,CNY
2024,China,艾瑞咨询,111.9,CNY
2024,China,Healx,42.4,CNY
2024,China,Color Health,16.6,CNY
2024,China,CodaMetrix,2.4,CNY
2024,China,数坤科技,33.7,CNY
2024,China,Element5,63.3,CNY
2024,China,Elegen Corp.,58.5,CNY
2024,China,联影智能,36.8,CNY
2024,China,Daxue Consulting,50.8,CNY
2024,China,Arterys,83.0,CNY
2024,China,新华三AI医疗平台,21.3,CNY
2024,China,ScienceDirect,34.5,CNY
2024,China,Fathom,62.3,CNY
2024,China,蓝帆医疗AI,22.7,CNY
2024,China,Owkin,70.3,CNY
2024,China,Exscientia,18.6,CNY
2024,China,BenchSci,20.0,CNY
2024,China,Eleos Health,17.9,CNY
2024,China,新华三AI医疗平台,45.7,CNY
2024,China,HMNC Brain Health,46.5,CNY
2024,China,深睿医疗,1.4,CNY
2024,China,ZOE,19.9,CNY
2024,China,BenchSci,77.4,CNY
2024,China,Hinge Health,69.4,CNY
2024,China,Forward,38.7,CNY
2024,China,BenevolentAI,77.3,CNY
2024,China,Hinge Health,1.1,CNY
2024,China,Cleerly,17.5,CNY
2024,China,Everly Health,8.0,CNY
2024,China,Fathom,7.3,CNY
2024,China,ZOE,63.3,CNY
2024,China,国家统计局,66.3,CNY
2024,China,国家统计局,28.2,CNY
2015,EU,European Commission,45.9,EUR
2015,EU,Eurostat,43.1,EUR
2015,EU,Mordor Intelligence,43.5,EUR
2015,EU,Eleos Health,15.6,EUR
2015,EU,Color Health,5.4,EUR
2015,EU,蓝帆医疗AI,14.7,EUR
2015,EU,Atomwise,3.6,EUR
2015,EU,Atomwise,9.6,EUR
2015,EU,Intelligencia AI,11.6,EUR
2015,EU,Infinitus,21.9,EUR
2015,EU,华大智造,16.5,EUR
2015,EU,蓝帆医疗AI,10.1,EUR
2015,EU,Daxue Consulting,12.7,EUR
2015,EU,Vizzia Technologies,20.2,EUR
2015,EU,观研报告网,8.8,EUR
2015,EU,Angle Health,5.5,EUR
2015,EU,GE Healthcare,14.4,EUR
2015,EU,联影智能,24.3,EUR
2015,EU,Philips Healthcare,16.8,EUR
2015,EU,迈瑞医疗,11.5,EUR
2015,EU,Insitro,20.8,EUR
2015,EU,国家统计局,3.2,EUR
2015,EU,Hinge Health,3.3,EUR
2015,EU,Fathom,25.8,EUR
2015,EU,GE Healthcare,10.5,EUR
2015,EU,Owkin,15.0,EUR
2015,EU,IBM Watson Health,13.4,EUR
2015,EU,阿里健康,1.6,EUR
2015,EU,Intelligencia AI,19.6,EUR
2015,EU,Color Health,10.3,EUR
2015,EU,Lyra Health,23.2,EUR
2015,EU,Angle Health,5.0,EUR
2015,EU,Optum Analytics,14.0,EUR
2015,EU,深睿医疗,18.3,EUR
2015,EU,Quibim,19.2,EUR
2016,EU,European Commission,43.2,EUR
2016,EU,Eurostat,44.8,EUR
2016,EU,Mordor Intelligence,44.8,EUR
