ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
R1,18-30岁,其他,初中,县级市,是,是,是,是,医疗影像识别,医生介绍,视情况而定,医生,使用过,准确,完全不信任,错诊漏诊,是,视情况而定,稍微担心,不接受,政府,否,不接受,不愿意支付,担心
R2,46-60岁,其他,初中,农村,是,是,是,是,医疗影像识别,互联网搜索,愿意,难以判断,使用过,未使用,较信任,错诊漏诊,是,愿意,比较担心,接受,政府,不确定,接受,不愿意支付,不担心
R3,31-45岁,男,小学及以下,城市,是,否,是,是,医疗影像识别,朋友推荐,愿意,AI系统,使用过,准确,较信任,错诊漏诊,否,愿意,不担心,不确定,医院,是,取决于场景,不愿意支付,不担心
R4,31-45岁,男,研究生及以上,县级市,是,是,是,是,医疗影像识别,朋友推荐,视情况而定,都不信任,听说过但没用过,准确,完全不信任,错诊漏诊,否,愿意,非常担心,接受,第三方独立机构,是,取决于场景,不愿意支付,不了解
R5,18岁以下,其他,初中,城市,是,是,是,否,不清楚,医生介绍,愿意,医生,听说过但没用过,准确,一般,错诊漏诊,是,不愿意,不担心,接受,不需要监管,是,接受,不愿意支付,不了解
R6,31-45岁,男,研究生及以上,城市,否,是,是,是,辅助诊断,朋友推荐,视情况而定,难以判断,使用过,准确,较不信任,被医生替代,是,视情况而定,不担心,接受,政府,是,接受,0-20元,担心
R7,46-60岁,其他,高中/中专,县级市,是,是,是,是,药物推荐,医生介绍,视情况而定,AI系统,没听说过,准确,完全不信任,被医生替代,是,视情况而定,稍微担心,接受,政府,不确定,取决于场景,不愿意支付,担心
R8,18岁以下,男,高中/中专,农村,否,是,是,是,不清楚,新闻报道,视情况而定,AI系统,使用过,不满意,完全不信任,错诊漏诊,否,不愿意,稍微担心,接受,政府,不确定,取决于场景,不愿意支付,担心
R9,60岁以上,男,本科,农村,否,是,是,是,医疗影像识别,新闻报道,不愿意,难以判断,没听说过,准确,一般,被医生替代,无所谓,愿意,不担心,接受,政府,是,取决于场景,不愿意支付,不了解
R10,31-45岁,女,研究生及以上,城市,否,是,否,是,医疗影像识别,朋友推荐,不愿意,AI系统,听说过但没用过,准确,较不信任,被医生替代,是,愿意,不担心,接受,政府,是,接受,0-20元,担心
R11,60岁以上,其他,小学及以下,农村,是,否,是,是,医疗影像识别,互联网搜索,愿意,难以判断,听说过但没用过,方便,完全不信任,错诊漏诊,是,视情况而定,不担心,接受,第三方独立机构,是,取决于场景,50元以上,不了解
R12,31-45岁,其他,小学及以下,城市,是,是,是,是,辅助诊断,不了解,愿意,都不信任,使用过,快捷,非常信任,错诊漏诊,是,愿意,不担心,不确定,不需要监管,是,不接受,50元以上,担心
R13,18-30岁,其他,高中/中专,县级市,是,否,是,否,辅助诊断,新闻报道,视情况而定,难以判断,没听说过,不满意,一般,错诊漏诊,是,视情况而定,非常担心,接受,第三方独立机构,否,接受,不愿意支付,担心
R14,31-45岁,女,研究生及以上,城市,否,否,是,否,辅助诊断,互联网搜索,不愿意,医生,没听说过,准确,较信任,错诊漏诊,无所谓,视情况而定,非常担心,接受,政府,是,取决于场景,50元以上,担心
R15,46-60岁,男,小学及以下,城市,是,否,是,是,辅助诊断,互联网搜索,愿意,都不信任,没听说过,准确,非常信任,错诊漏诊,是,不愿意,稍微担心,接受,第三方独立机构,否,不接受,20-50元,不了解
R16,18岁以下,其他,研究生及以上,农村,是,是,是,是,医疗影像识别,医生介绍,不愿意,难以判断,听说过但没用过,快捷,完全不信任,错诊漏诊,是,不愿意,不担心,不接受,第三方独立机构,否,取决于场景,20-50元,不了解
R17,18-30岁,女,研究生及以上,城市,是,否,是,是,药物推荐,医生介绍,视情况而定,医生,没听说过,快捷,较不信任,被医生替代,否,不愿意,不担心,不接受,政府,否,不接受,不愿意支付,担心
R18,60岁以上,其他,初中,农村,否,是,是,否,不清楚,医生介绍,愿意,AI系统,没听说过,准确,一般,错诊漏诊,无所谓,愿意,非常担心,不确定,第三方独立机构,是,取决于场景,50元以上,担心
